Fighter,Peak_Elo,Peak_Elo_Year,Current_Elo,Matches
Gordon Ryan |,2202.61,2024,2202.61,110
Gabrieli Pessanha |,2218.21,2025,2199.63,227
Mica Galvão |,2151.86,2025,2151.86,119
Kaynan Duarte |,2184.17,2024,2142.97,174
Nicholas Meregali |,2153.89,2024,2138.24,102
Tainan Dalpra |,2136.38,2025,2136.38,103
Gabrieli Pessanha,2145.44,2025,2135.94,82
Kaynan Duarte,2140.76,2024,2132.67,116
Erich Munis |,2121.89,2025,2121.89,126
Erich Munis,2102.93,2025,2102.93,70
Tainan Dalpra,2094.08,2025,2094.08,63
Nicholas Meregali,2092.65,2024,2092.65,69
Nick Rodriguez |,2082.97,2024,2081.64,61
Fellipe Andrew,2106.83,2024,2080.83,189
"Marcus Almeida ""Buchecha"" |",2107.77,2019,2072.82,153
Adam Wardziński |,2072.81,2025,2072.81,368
Mica Galvao,2063.92,2025,2063.92,66
Fellipe Andrew |,2120.67,2024,2063.81,325
Gordon Ryan,2063.45,2024,2063.45,47
Victor Hugo |,2089.78,2023,2062.38,114
"Felipe ""Preguiça"" Pena |",2112.11,2018,2058.79,187
Marcus Almeida,2069.27,2019,2041.2,58
Victor Hugo,2050.78,2025,2040.4,79
Adam Wardzinski,2040.39,2025,2040.39,135
Diego Oliveira |,2039.29,2025,2039.29,180
Jansen Gomes |,2033.79,2025,2033.79,94
Kade Ruotolo |,2027.56,2024,2027.56,36
Diego Oliveira,2024.07,2025,2024.07,95
Diogo Reis |,2086.52,2024,2014.51,108
Jansen Gomes,2013.78,2025,2013.78,56
Deandre Corbe |,2030.11,2025,2007.86,146
Adele Fornarino |,2019.52,2024,2007.11,45
Dante Leon |,2020.35,2025,1993.15,197
Felipe Pena,2017.02,2021,1990.01,79
"Roberto ""Cyborg"" Abreu |",2006.51,2023,1988.8,210
Mayssa Bastos |,1989.26,2025,1973.65,144
Andrew Tackett |,1972.39,2025,1972.39,44
Mason Fowler |,1981.87,2024,1971.14,50
Yuri Simoes |,1990.43,2022,1970.82,116
Rubens Charles Cobrinha |,1967.58,2017,1967.58,139
Meyram Maquine |,2000.8,2024,1965.13,134
Henrique Cardoso |,1999.91,2024,1963.91,172
Dorian Olivarez |,1963.14,2025,1963.14,24
Matheus Gabriel |,1962.51,2025,1962.51,90
Rafael Mendes,1959.23,2016,1959.23,31
Michael Musumeci |,1956.82,2025,1956.82,70
Giancarlo Bodoni |,2012.0,2024,1955.27,95
Leandro Lo |,2076.98,2017,1953.69,313
Luke Griffith |,1990.4,2024,1952.51,43
Roberto Abreu,1975.75,2023,1948.29,84
André Galvão |,1963.38,2016,1947.84,187
Andy Murasaki |,1947.35,2025,1947.35,105
Cole Abate |,1961.08,2025,1944.9,56
Meyram Maquine,1979.39,2024,1944.88,68
"Robert ""Degle"" Diggle |",1943.05,2025,1943.05,74
Pedro Marinho |,1976.55,2025,1941.1,100
Gustavo Batista |,1985.96,2024,1940.73,152
Larissa Dias |,1937.09,2025,1937.09,77
Marcelo Garcia |,1936.67,2011,1936.67,102
Craig Jones |,1935.13,2024,1935.13,86
Andy Murasaki,1938.67,2025,1933.45,69
Roosevelt Sousa |,1947.86,2025,1932.94,164
Matheus Gabriel,1932.67,2025,1932.67,57
Alex Enriquez |,1961.53,2025,1932.63,72
Roberto Jimenez |,1963.89,2025,1932.11,167
Vagner Rocha |,1938.01,2024,1928.94,141
Ryan Aitken |,1928.47,2025,1928.47,67
Jasmine Rocha |,1953.79,2024,1926.16,64
Diogo Reis,1964.82,2025,1924.24,46
Gustavo Batista,1967.58,2024,1921.79,94
Ffion Davies |,1921.59,2025,1921.59,94
Ronaldo Junior |,1930.18,2025,1920.59,133
Fabricio Andrey |,1949.44,2022,1920.43,128
Ronaldo Junior,1927.72,2025,1919.7,74
Fabricio Andrey,1917.87,2023,1916.77,77
Rafael Lovato Jr |,1913.84,2025,1913.84,202
Leandro Lo,1933.34,2017,1912.3,97
Rodolfo Vieira,1934.74,2015,1911.01,45
Lucas Protásio |,1928.18,2025,1910.0,197
Gutemberg Pereira |,1955.73,2024,1908.21,133
Gutemberg Pereira,1926.17,2025,1906.22,76
Tommy Langaker |,1953.41,2024,1904.88,179
